exp_a,exp_b,expertise_a,expertise_b,render_a,render_b,code_a,code_b,Shape,Direction,Length,Position,Duration
28,47,Beginner,Beginner,r1,r1,c2,c2,0.9871671388277579,0.8987152866668618,0.9841707656031433,0.9554791988558808,0.7022058823529411
28,48,Beginner,Beginner,r1,r1,c2,c2,0.989544189626074,0.8677031027014765,0.9871580671664256,0.9204792216987192,0.7727272727272728
28,50,Beginner,Beginner,r1,r1,c2,c2,0.9865978518446447,0.8657760517921264,0.9864741092626502,0.9615019146190074,0.7172774869109948
28,52,Beginner,Beginner,r1,r1,c2,c2,0.9848410945133292,0.8839059644025444,0.9817521950992708,0.9157968097568002,0.7091244239631337
29,30,Beginner,Beginner,r1,r1,c3,c3,0.9778013603963766,0.6778623397217889,0.9775900637422978,0.8990479619296986,0.7290322580645161
29,39,Beginner,Beginner,r1,r1,c3,c3,0.9796549538410698,0.8737551007718377,0.9779735404346949,0.8904867455176206,0.6584158415841583
29,46,Beginner,Beginner,r1,r1,c3,c3,0.9832364231226579,0.8001281867696547,0.9789908362969317,0.9119334536922507,0.7333333333333334
29,9,Beginner,Beginner,r1,r1,c3,c3,0.9803669621374321,0.8002237350540847,0.9774119283728298,0.8979695116637606,0.6958947787963332
30,39,Beginner,Beginner,r1,r1,c3,c3,0.9829894699961277,0.7336185031286503,0.978000590828821,0.8654689605115217,0.6949685534591195
30,46,Beginner,Beginner,r1,r1,c3,c3,0.9864552569264443,0.7633470618268272,0.9810287163873782,0.9092376619222521,0.718666314014613
30,9,Beginner,Beginner,r1,r1,c3,c3,0.9845848980737866,0.7514232624533167,0.9808004498263729,0.8649613508736993,0.7109634551495017
33,36,Beginner,Beginner,r1,r1,c1,c1,0.9874684809546543,0.72171041317055,0.9819567916924307,0.9038788595175371,0.7446808510638299
33,40,Beginner,Beginner,r1,r1,c1,c1,0.9892850044525104,0.9067622582102443,0.9887178313862722,0.9601303266130923,0.7309644670050761
