exp_a,exp_b,stimulus,expertise_a,expertise_b,distance,score,source_file
86,79,rectangle,high,low,501.0,0.9027027027027028,Java_high_Java_low_results.csv
86,138,rectangle,high,low,507.0,0.9135135135135136,Java_high_Java_low_results.csv
86,31,rectangle,high,low,507.0,0.9135135135135136,Java_high_Java_low_results.csv
86,140,rectangle,high,low,505.0,0.90990990990991,Java_high_Java_low_results.csv
86,124,rectangle,high,low,520.0,0.9369369369369368,Java_high_Java_low_results.csv
86,77,rectangle,high,low,516.0,0.9297297297297298,Java_high_Java_low_results.csv
86,104,rectangle,high,low,518.0,0.9333333333333332,Java_high_Java_low_results.csv
86,41,rectangle,high,low,511.0,0.9207207207207208,Java_high_Java_low_results.csv
86,78,rectangle,high,low,514.0,0.926126126126126,Java_high_Java_low_results.csv
86,126,rectangle,high,low,478.0,0.8612612612612612,Java_high_Java_low_results.csv
87,27,rectangle,high,low,201.0,0.8481012658227848,Java_high_Java_low_results.csv
86,162,rectangle,high,low,514.0,0.926126126126126,Java_high_Java_low_results.csv
86,164,rectangle,high,low,516.0,0.9297297297297298,Java_high_Java_low_results.csv
86,180,rectangle,high,low,501.0,0.9027027027027028,Java_high_Java_low_results.csv
87,13,rectangle,high,low,249.0,0.976470588235294,Java_high_Java_low_results.csv
87,21,rectangle,high,low,309.0,0.9747634069400632,Java_high_Java_low_results.csv
87,35,rectangle,high,low,204.0,0.8607594936708861,Java_high_Java_low_results.csv
87,34,rectangle,high,low,218.0,0.9008264462809916,Java_high_Java_low_results.csv
86,64,rectangle,high,low,499.0,0.8990990990990991,Java_high_Java_low_results.csv
86,128,rectangle,high,low,503.0,0.9063063063063064,Java_high_Java_low_results.csv
87,29,rectangle,high,low,204.0,0.8607594936708861,Java_high_Java_low_results.csv
87,43,rectangle,high,low,214.0,0.9029535864978904,Java_high_Java_low_results.csv
86,186,rectangle,high,low,485.0,0.8738738738738738,Java_high_Java_low_results.csv
87,65,rectangle,high,low,221.0,0.9324894514767932,Java_high_Java_low_results.csv
87,37,rectangle,high,low,208.0,0.8776371308016878,Java_high_Java_low_results.csv
