exp_a,exp_b,stimulus,expertise_a,expertise_b,Shape,Direction,Length,Position,Duration,source_file
212,214,rectangle,medium,medium,0.9905719637806906,0.7100949232926936,0.9883631747027786,0.9405007605996286,0.6921768707482994,Java_medium_results.csv
212,215,rectangle,medium,medium,0.9914983227341648,0.7400953902767804,0.9904547871199691,0.9385134113099296,0.6666666666666667,Java_medium_results.csv
214,215,rectangle,medium,medium,0.9920495410141924,0.7148333839657046,0.9895634536356585,0.936793972453776,0.7083333333333334,Java_medium_results.csv
206,207,rectangle,medium,medium,0.9934775954961642,0.6963212849748134,0.9922052731294322,0.9104692491123114,0.6470588235294117,Java_medium_results.csv
194,207,rectangle,medium,medium,0.9909757633255164,0.6998844426535984,0.9883530472438216,0.9181695630328444,0.6081081081081081,Java_medium_results.csv
194,202,rectangle,medium,medium,0.9900932896090971,0.6641269855594776,0.985774411785294,0.8887721048997561,0.6873015873015873,Java_medium_results.csv
207,214,rectangle,medium,medium,0.991339799839703,0.7429969263901761,0.9886053520797734,0.9516778239099476,0.5847701149425288,Java_medium_results.csv
206,215,rectangle,medium,medium,0.9938652400943748,0.7205409889543102,0.9926073908518728,0.9207279261168676,0.6877280265339967,Java_medium_results.csv
194,215,rectangle,medium,medium,0.9915913620745777,0.6780031478617542,0.9881261135227688,0.8961090218149771,0.7083333333333334,Java_medium_results.csv
206,214,rectangle,medium,medium,0.9922526707959336,0.7393634184538027,0.9900004914051568,0.9333142983249756,0.7142857142857142,Java_medium_results.csv
194,206,rectangle,medium,medium,0.9917345076246992,0.7269707048692942,0.989288033223142,0.9031405459710335,0.6875,Java_medium_results.csv
3,5,rectangle,none,none,0.9936973569501596,0.7606205625311517,0.9905618425802016,0.9111340963915056,0.7,Java_none_results.csv
30,110,rectangle,none,none,0.9936267187645018,0.7449452708361477,0.9906332309055196,0.9427809920599548,0.7210771276595744,Java_none_results.csv
3,189,rectangle,none,none,0.9923143447279178,0.7742393934633837,0.9887102563279652,0.9379505753866356,0.6071428571428572,Java_none_results.csv
36,93,rectangle,none,none,0.9920964418062624,0.7542326084099962,0.9909001906825544,0.9373168983394295,0.6666666666666666,Java_none_results.csv
3,30,rectangle,none,none,0.9924598262129884,0.7406782683571477,0.9907862130004108,0.9532030054845084,0.6785714285714286,Java_none_results.csv
30,96,rectangle,none,none,0.990881473276608,0.7234211968030011,0.9870136858568016,0.9173394328248792,0.5671171171171172,Java_none_results.csv
3,163,rectangle,none,none,0.9897323891919136,0.7788074268672434,0.9866847666553769,0.9509810695577576,0.6799999999999999,Java_none_results.csv
3,12,rectangle,none,none,0.991241369390824,0.7765268551019693,0.9868564460078092,0.9474372671830786,0.6944444444444445,Java_none_results.csv
3,196,rectangle,none,none,0.9879168617606084,0.6864955231161551,0.9800586493198798,0.898859474699673,0.7236363636363636,Java_none_results.csv
12,36,rectangle,none,none,0.989298003497448,0.804686491163297,0.9838635283609496,0.956364436013361,0.6314814814814815,Java_none_results.csv
30,93,rectangle,none,none,0.9922283287101796,0.6795997855930469,0.9895812983817608,0.8587159018956271,0.6666666666666666,Java_none_results.csv
38,93,rectangle,none,none,0.9925488069641338,0.6416267307522872,0.9889871504225866,0.9187806826207284,0.6799999999999999,Java_none_results.csv
30,38,rectangle,none,none,0.9929706599346738,0.6835515007694716,0.988889334896736,0.8637077356331608,0.6969696969696969,Java_none_results.csv
30,36,rectangle,none,none,0.991431927982733,0.7235260721959424,0.9882011170987068,0.9406794811839788,0.6521739130434783,Java_none_results.csv
5,28,rectangle,none,none,0.9913689169231726,0.7124793878998777,0.9869214622098934,0.9383708000039328,0.6944444444444445,Java_none_results.csv
28,30,rectangle,none,none,0.9907606223053248,0.7418091410358347,0.9845908896733758,0.9355431453526823,0.6567164179104477,Java_none_results.csv
12,163,rectangle,none,none,0.9893462296405195,0.7734424960199613,0.9842676373218048,0.918092095922012,0.695048309178744,Java_none_results.csv
93,110,rectangle,none,none,0.9920591660025596,0.6590595845232715,0.9908629738411392,0.8952454174750748,0.7333333333333334,Java_none_results.csv
28,211,rectangle,none,none,0.9940370077409268,0.7520916256910486,0.990835982692556,0.9460148665904268,0.654655612244898,Java_none_results.csv
96,154,rectangle,none,none,0.9927278798944824,0.6530831598927316,0.9907517722601764,0.9380416031160456,0.5800000000000001,Java_none_results.csv
3,211,rectangle,none,none,0.9944042524958956,0.7513281341692215,0.9933139462282938,0.9170829993841216,0.6521739130434783,Java_none_results.csv
3,181,rectangle,none,none,0.9922283708483352,0.6923825292514616,0.9921725875552532,0.9468188013035796,0.701851851851852,Java_none_results.csv
3,93,rectangle,none,none,0.9921685708813942,0.7243242834359356,0.9917084686632236,0.9512600828555468,0.6666666666666667,Java_none_results.csv
28,204,rectangle,none,none,0.989906826618669,0.5779583276647535,0.9848589444467296,0.9028921410500772,0.6799999999999999,Java_none_results.csv
