exp_a,exp_b,expertise_a,expertise_b,render_a,render_b,code_a,code_b,score
18,19,Intermediate,Intermediate,r2,r3,c2,c2,0.5652173913043478
18,23,Intermediate,Intermediate,r2,r3,c2,c2,0.5217391304347826
18,44,Intermediate,Intermediate,r2,r3,c2,c2,0.5434782608695652
18,51,Intermediate,Intermediate,r2,r3,c2,c2,0.6594202898550725
19,14,Intermediate,Intermediate,r2,r3,c1,c1,0.6164383561643836
19,15,Intermediate,Intermediate,r2,r3,c1,c1,0.7123287671232876
19,22,Intermediate,Intermediate,r2,r3,c1,c1,0.6506849315068494
19,42,Intermediate,Intermediate,r2,r3,c1,c1,0.7054794520547946
20,14,Intermediate,Intermediate,r2,r3,c1,c1,0.6511627906976745
20,15,Intermediate,Intermediate,r2,r3,c1,c1,0.608
20,17,Intermediate,Intermediate,r2,r3,c1,c1,0.6991869918699187
