exp_a,exp_b,expertise_a,expertise_b,render_a,render_b,code_a,code_b,Shape,Direction,Length,Position,Duration,source_file
20,26,Intermediate,Beginner,r1,r1,c3,c3,0.9844424879925788,0.8514813826002183,0.9804597071003056,0.9350521312837602,0.7073170731707317,r1_result.csv
20,29,Intermediate,Beginner,r1,r1,c3,c3,0.980401361666766,0.7905557067643328,0.9789580903763596,0.936408334945314,0.7299270072992701,r1_result.csv
20,30,Intermediate,Beginner,r1,r1,c3,c3,0.9824246952562228,0.7789088045379141,0.9796372426053532,0.8808883633657022,0.7258620689655173,r1_result.csv
20,39,Intermediate,Beginner,r1,r1,c3,c3,0.9783739982278432,0.8092861148132433,0.9763334350361368,0.9119863399931336,0.7027027027027027,r1_result.csv
20,46,Intermediate,Beginner,r1,r1,c3,c3,0.9825830692166913,0.7932519326656651,0.9770967114774428,0.928343349958938,0.7135922330097088,r1_result.csv
20,9,Intermediate,Beginner,r1,r1,c3,c3,0.983731657776954,0.7862147920283357,0.9833526582825416,0.9024706255632052,0.7072880860089228,r1_result.csv
21,26,Intermediate,Beginner,r1,r1,c3,c3,0.983701431762558,0.8646373130515239,0.976838588648408,0.9237455814541676,0.7325331564986737,r1_result.csv
21,29,Intermediate,Beginner,r1,r1,c3,c3,0.9820113111185904,0.8344895107808153,0.9785373890999928,0.9235315153378744,0.7362987987987988,r1_result.csv
21,30,Intermediate,Beginner,r1,r1,c3,c3,0.9839516182979802,0.8204305536249583,0.9804864485775268,0.9293123638719192,0.7518796992481203,r1_result.csv
21,39,Intermediate,Beginner,r1,r1,c3,c3,0.984970783109416,0.8528524382957282,0.9823040849410036,0.9056734681344772,0.6939890710382515,r1_result.csv
21,46,Intermediate,Beginner,r1,r1,c3,c3,0.9842317757916684,0.8459110752169804,0.979694535567546,0.8919553714113602,0.6927710843373494,r1_result.csv
21,9,Intermediate,Beginner,r1,r1,c3,c3,0.9836394485453712,0.7620139531632595,0.978060118925222,0.9319761640631884,0.7411764705882353,r1_result.csv
22,26,Intermediate,Beginner,r1,r1,c3,c3,0.9860420656625184,0.8842244898781766,0.9834008788137576,0.932654805911331,0.728886629767687,r1_result.csv
22,29,Intermediate,Beginner,r1,r1,c3,c3,0.985095461396152,0.7865199447604732,0.9823663232403012,0.9345276260003796,0.7259786476868326,r1_result.csv
22,30,Intermediate,Beginner,r1,r1,c3,c3,0.9839603926573538,0.7351200922855434,0.9800422154835864,0.920042583900123,0.6558441558441559,r1_result.csv
22,39,Intermediate,Beginner,r1,r1,c3,c3,0.9846200175097776,0.8492797987120734,0.9840751731696604,0.9364835371767032,0.6793285238623751,r1_result.csv
22,46,Intermediate,Beginner,r1,r1,c3,c3,0.9862111814932232,0.8642375747835269,0.9820682561175526,0.9128833630783936,0.7282864100482762,r1_result.csv
22,9,Intermediate,Beginner,r1,r1,c3,c3,0.9868997656047548,0.7723385183474103,0.9862959521556024,0.9185008640541034,0.7157190635451505,r1_result.csv
23,26,Intermediate,Beginner,r1,r1,c3,c3,0.9787754487858196,0.8053767929271729,0.9759510355250448,0.9102303996581266,0.7514705882352941,r1_result.csv
23,29,Intermediate,Beginner,r1,r1,c3,c3,0.9750981245628082,0.7587185675072965,0.9706167246973956,0.8790684402271912,0.7439603872457589,r1_result.csv
23,30,Intermediate,Beginner,r1,r1,c3,c3,0.9729693581152432,0.7170933281344578,0.9625673191272812,0.8607931338321677,0.7751651982378853,r1_result.csv
23,39,Intermediate,Beginner,r1,r1,c3,c3,0.9764896317561153,0.7597091049977307,0.9736621620189876,0.8753206399054889,0.736842105263158,r1_result.csv
