exp_a,exp_b,stimulus,expertise_a,expertise_b,distance,score,source_file
37,180,vehicle,low,low,229.0,0.8875968992248062,Java_low_results.csv
37,140,vehicle,low,low,218.0,0.8449612403100775,Java_low_results.csv
41,63,vehicle,low,low,259.0,0.7777777777777778,Java_low_results.csv
41,65,vehicle,low,low,293.0,0.8798798798798799,Java_low_results.csv
41,114,vehicle,low,low,287.0,0.8618618618618619,Java_low_results.csv
41,94,vehicle,low,low,296.0,0.8888888888888888,Java_low_results.csv
37,164,vehicle,low,low,223.0,0.8643410852713178,Java_low_results.csv
41,60,vehicle,low,low,309.0,0.927927927927928,Java_low_results.csv
41,78,vehicle,low,low,286.0,0.8588588588588588,Java_low_results.csv
37,179,vehicle,low,low,346.0,0.9033942558746736,Java_low_results.csv
41,56,vehicle,low,low,282.0,0.8468468468468469,Java_low_results.csv
