exp_a,exp_b,stimulus,expertise_a,expertise_b,Shape,Direction,Length,Position,Duration,source_file
158,197,vehicle,medium,medium,0.9914416622370688,0.6747626799280264,0.988894581899402,0.9201946332519748,0.6363636363636365,Java_medium_results.csv
166,197,vehicle,medium,medium,0.989619266476338,0.7289707321274564,0.98632592790387,0.8578556910190187,0.653846153846154,Java_medium_results.csv
158,171,vehicle,medium,medium,0.9938302995399114,0.7489263767803284,0.9906670522968852,0.9175190794115724,0.6428571428571428,Java_medium_results.csv
166,210,vehicle,medium,medium,0.9890835019907356,0.7074629415062514,0.9831695565720704,0.8982472168567216,0.7777777777777779,Java_medium_results.csv
168,190,vehicle,medium,medium,0.991267854771356,0.688284812532816,0.9853300127916248,0.9008684044666893,0.5925925925925926,Java_medium_results.csv
168,169,vehicle,medium,medium,0.9898729393362016,0.7049989329832561,0.9841966509707196,0.8880068705392776,0.6818181818181819,Java_medium_results.csv
166,206,vehicle,medium,medium,0.9915852038571904,0.7118818811582501,0.9886655058288556,0.8632750523506233,0.7142857142857142,Java_medium_results.csv
158,214,vehicle,medium,medium,0.9933368309229568,0.7164690872958005,0.9918955942276207,0.905561540623446,0.6666666666666666,Java_medium_results.csv
158,202,vehicle,medium,medium,0.9893727969711522,0.7212386887704727,0.9845001561646792,0.9072613619285274,0.6352549889135255,Java_medium_results.csv
168,203,vehicle,medium,medium,0.9897684404382412,0.6157992934419249,0.9867250697514334,0.86994298585714,0.7000000000000001,Java_medium_results.csv
151,168,vehicle,medium,medium,0.9936128808287082,0.6696390288297103,0.9920392402611083,0.9238134545823606,0.6774193548387097,Java_medium_results.csv
168,192,vehicle,medium,medium,0.9896210112684198,0.6962739768529423,0.9863141288432614,0.9069598664691694,0.5517241379310345,Java_medium_results.csv
168,210,vehicle,medium,medium,0.9914104021215642,0.735034442203961,0.9893483122450372,0.8981769920344811,0.6666666666666666,Java_medium_results.csv
168,197,vehicle,medium,medium,0.9910434416147283,0.7246484423512551,0.9876986730783776,0.914275555217868,0.6363636363636365,Java_medium_results.csv
166,215,vehicle,medium,medium,0.989562319399055,0.7071282620935047,0.98776845341735,0.9145491651946612,0.7083333333333334,Java_medium_results.csv
169,190,vehicle,medium,medium,0.9882684339660464,0.6680457999192401,0.9853821167373092,0.9214495951588626,0.625,Java_medium_results.csv
151,171,vehicle,medium,medium,0.994756237175189,0.648516045117862,0.9933350048109042,0.9267422167053556,0.6,Java_medium_results.csv
168,206,vehicle,medium,medium,0.9930752551249205,0.725008928319975,0.991152375302176,0.9037181196677968,0.7247474747474747,Java_medium_results.csv
169,171,vehicle,medium,medium,0.9898481269528224,0.7159935300194209,0.9870824076273292,0.9297161630533552,0.5925925925925926,Java_medium_results.csv
169,192,vehicle,medium,medium,0.989077385805553,0.790614983102177,0.9844462280824644,0.9218951724619696,0.55,Java_medium_results.csv
168,207,vehicle,medium,medium,0.9934900016434872,0.6671519787061908,0.991907549179588,0.897607236996939,0.629100529100529,Java_medium_results.csv
151,158,vehicle,medium,medium,0.9945942520585492,0.6910180401389018,0.9926069270126642,0.905661989821332,0.6499999999999999,Java_medium_results.csv
169,203,vehicle,medium,medium,0.9868761461376224,0.6439554020194839,0.9825432543777805,0.871959149469894,0.7083333333333334,Java_medium_results.csv
166,171,vehicle,medium,medium,0.9910130115072272,0.7292524662488687,0.9894395406287684,0.8644659043685755,0.5893997445721584,Java_medium_results.csv
169,197,vehicle,medium,medium,0.9877413728163312,0.6913558771603758,0.9846233133977346,0.9125221503551432,0.6519230769230769,Java_medium_results.csv
169,191,vehicle,medium,medium,0.9897710858374656,0.7806749501465722,0.9855012170880932,0.9218036160257852,0.6828571428571428,Java_medium_results.csv
169,206,vehicle,medium,medium,0.9919144982450652,0.6724498345192722,0.9897655756978618,0.9251123623283072,0.6799999999999999,Java_medium_results.csv
168,215,vehicle,medium,medium,0.9911959083771156,0.7483981772706574,0.987997529725304,0.8671831635919072,0.6666666666666666,Java_medium_results.csv
171,190,vehicle,medium,medium,0.992440270948484,0.6774462089100481,0.9864763098852936,0.8883811185976535,0.5454545454545454,Java_medium_results.csv
169,207,vehicle,medium,medium,0.9916153756908034,0.675250235700599,0.991447028792634,0.921257025900568,0.6799999999999999,Java_medium_results.csv
168,191,vehicle,medium,medium,0.9910013455129084,0.7578072388146428,0.9877870280843732,0.8972594308883813,0.6300322061191627,Java_medium_results.csv
169,210,vehicle,medium,medium,0.9876420037322804,0.6845603329605137,0.9854054578352308,0.937406107824356,0.6779661016949152,Java_medium_results.csv
171,203,vehicle,medium,medium,0.989947454742737,0.6268326440486911,0.9847842978050376,0.8808123510334473,0.5714285714285714,Java_medium_results.csv
168,171,vehicle,medium,medium,0.9919398772799928,0.7438303485684647,0.98864354758497,0.9119518611822304,0.5518259935553169,Java_medium_results.csv
171,192,vehicle,medium,medium,0.9917998599286936,0.6982672917329914,0.988424947836728,0.9205039429303576,0.6199999999999999,Java_medium_results.csv
166,214,vehicle,medium,medium,0.991697021383206,0.7222823572531063,0.9887186705319128,0.8450287049106485,0.7165178571428572,Java_medium_results.csv
171,210,vehicle,medium,medium,0.993140018367176,0.6538187480698476,0.9918309411498674,0.8955627865523453,0.5719827586206896,Java_medium_results.csv
171,197,vehicle,medium,medium,0.9917714568525066,0.7234571656370958,0.9887048923894356,0.9094518405759436,0.603448275862069,Java_medium_results.csv
190,192,vehicle,medium,medium,0.9903279067844328,0.8819404107438436,0.9848317026349444,0.9471574785230849,0.625,Java_medium_results.csv
151,202,vehicle,medium,medium,0.9912323308383204,0.7087942481578478,0.9891915017419703,0.9090983986415034,0.6428571428571428,Java_medium_results.csv
168,202,vehicle,medium,medium,0.987994244847762,0.7093097094894438,0.982067975130224,0.9033225684559572,0.6153846153846154,Java_medium_results.csv
169,215,vehicle,medium,medium,0.9903835363529532,0.7111240974373876,0.9878625931933496,0.871161670201016,0.6799999999999999,Java_medium_results.csv
190,191,vehicle,medium,medium,0.9900465519392913,0.7262235539593984,0.984692673288781,0.9326913339832252,0.6233766233766234,Java_medium_results.csv
190,203,vehicle,medium,medium,0.9892712725869368,0.6397040262077215,0.9837762390211208,0.9258862270139836,0.5999999999999999,Java_medium_results.csv
190,197,vehicle,medium,medium,0.9903230333696204,0.6728728579949872,0.9861915591323446,0.9234579934524104,0.6363636363636365,Java_medium_results.csv
190,210,vehicle,medium,medium,0.991703341162844,0.7694246593438799,0.988722061573274,0.9454885077955304,0.6326923076923077,Java_medium_results.csv
169,214,vehicle,medium,medium,0.9922386709526854,0.6605272266207647,0.9894923592648048,0.8876101891860301,0.6428571428571428,Java_medium_results.csv
171,191,vehicle,medium,medium,0.9924793560045608,0.7545208664027274,0.9884886372002798,0.933473010481164,0.6363636363636365,Java_medium_results.csv
166,207,vehicle,medium,medium,0.991595488030534,0.7069422581054179,0.9898840606502668,0.8995408031582608,0.6363636363636364,Java_medium_results.csv
171,215,vehicle,medium,medium,0.992615837512,0.6911286888955779,0.9893825448221936,0.8666351339520642,0.5833333333333333,Java_medium_results.csv
190,206,vehicle,medium,medium,0.9945828402561784,0.6401964958505975,0.9916374545730862,0.9281845919069308,0.5887491264849756,Java_medium_results.csv
190,215,vehicle,medium,medium,0.9925800464743292,0.6718364706917151,0.9893969804318122,0.9267884804972936,0.6086956521739131,Java_medium_results.csv
191,203,vehicle,medium,medium,0.9870688817045848,0.5447115779472155,0.9798981184966976,0.8631140832170284,0.6475155279503105,Java_medium_results.csv
191,192,vehicle,medium,medium,0.9897459726434074,0.7823301615434527,0.9845750492833364,0.938802958225106,0.625,Java_medium_results.csv
191,210,vehicle,medium,medium,0.990278269731875,0.7282185887841934,0.9875898573187518,0.9464375294364772,0.6410256410256411,Java_medium_results.csv
190,202,vehicle,medium,medium,0.9875422089531468,0.6181364500022897,0.9779769685572358,0.8744676388587173,0.6226415094339623,Java_medium_results.csv
190,214,vehicle,medium,medium,0.993012982953388,0.6464834523943854,0.9897922893061684,0.9055827466016462,0.59375,Java_medium_results.csv
191,206,vehicle,medium,medium,0.993461702957688,0.7327617651826495,0.991380830630221,0.946903263061616,0.657142857142857,Java_medium_results.csv
190,207,vehicle,medium,medium,0.9936077344397868,0.6492357439784557,0.9914734368954624,0.8814656115303856,0.5833333333333334,Java_medium_results.csv
192,203,vehicle,medium,medium,0.9870534736967884,0.6541584915014691,0.9831714582557176,0.9156018761506486,0.56,Java_medium_results.csv
192,197,vehicle,medium,medium,0.989011718160368,0.7126337604275397,0.984445276896152,0.9454415391709496,0.6153846153846154,Java_medium_results.csv
