exp_a,exp_b,stimulus,expertise_a,expertise_b,distance,score,source_file
69,99,vehicle,high,low,277.0,0.8765822784810127,Java_high_Java_low_results.csv
69,139,vehicle,high,low,264.0,0.8354430379746836,Java_high_Java_low_results.csv
69,44,vehicle,high,low,279.0,0.8829113924050633,Java_high_Java_low_results.csv
69,41,vehicle,high,low,301.0,0.9039039039039038,Java_high_Java_low_results.csv
69,77,vehicle,high,low,322.0,0.8277634961439588,Java_high_Java_low_results.csv
69,140,vehicle,high,low,263.0,0.8322784810126582,Java_high_Java_low_results.csv
69,124,vehicle,high,low,288.0,0.9113924050632912,Java_high_Java_low_results.csv
69,164,vehicle,high,low,291.0,0.9208860759493672,Java_high_Java_low_results.csv
80,10,vehicle,high,low,121.0,0.8962962962962963,Java_high_Java_low_results.csv
80,27,vehicle,high,low,80.0,0.963855421686747,Java_high_Java_low_results.csv
69,132,vehicle,high,low,275.0,0.870253164556962,Java_high_Java_low_results.csv
80,29,vehicle,high,low,155.0,0.8469945355191257,Java_high_Java_low_results.csv
69,180,vehicle,high,low,263.0,0.8322784810126582,Java_high_Java_low_results.csv
80,21,vehicle,high,low,316.0,0.8926553672316384,Java_high_Java_low_results.csv
80,31,vehicle,high,low,242.0,0.9166666666666666,Java_high_Java_low_results.csv
69,13,vehicle,high,low,449.0,0.8134057971014492,Java_high_Java_low_results.csv
80,34,vehicle,high,low,185.0,0.9068627450980392,Java_high_Java_low_results.csv
80,13,vehicle,high,low,514.0,0.9311594202898552,Java_high_Java_low_results.csv
69,126,vehicle,high,low,283.0,0.8871473354231975,Java_high_Java_low_results.csv
69,172,vehicle,high,low,252.0,0.7974683544303798,Java_high_Java_low_results.csv
80,35,vehicle,high,low,234.0,0.8830188679245283,Java_high_Java_low_results.csv
80,37,vehicle,high,low,231.0,0.8953488372093024,Java_high_Java_low_results.csv
80,56,vehicle,high,low,130.0,0.8904109589041096,Java_high_Java_low_results.csv
69,200,vehicle,high,low,287.0,0.9082278481012658,Java_high_Java_low_results.csv
80,43,vehicle,high,low,265.0,0.913793103448276,Java_high_Java_low_results.csv
80,41,vehicle,high,low,303.0,0.90990990990991,Java_high_Java_low_results.csv
80,65,vehicle,high,low,92.0,0.9292929292929292,Java_high_Java_low_results.csv
80,78,vehicle,high,low,88.0,0.9361702127659576,Java_high_Java_low_results.csv
80,44,vehicle,high,low,265.0,0.9044368600682594,Java_high_Java_low_results.csv
80,74,vehicle,high,low,90.0,0.9278350515463918,Java_high_Java_low_results.csv
80,63,vehicle,high,low,232.0,0.8923076923076924,Java_high_Java_low_results.csv
