exp_a,exp_b,trial_id,expertise_a,expertise_b,Shape,Direction,Length,Position,Duration
60,36,5,low,none,0.9905052096514535,0.7359500522688868,0.987851244453953,0.8670244410460584,0.7119815668202765
60,93,5,low,none,0.9912303818964697,0.6940149976570349,0.9873162780848609,0.8264345043001452,0.6896551724137931
60,110,5,low,none,0.9916951994474746,0.7812224060013813,0.98806896727923,0.8995178827893255,0.6666666666666666
60,96,5,low,none,0.9898181883903256,0.7774684924293798,0.9865751209101739,0.9168065385391438,0.5521059487624836
60,163,5,low,none,0.9905302268629783,0.7193672124301437,0.9882906990630744,0.9111749053687326,0.6818181818181819
60,181,5,low,none,0.9910759706115324,0.737982259167248,0.9886528968870111,0.9037035201657766,0.6923076923076923
60,204,5,low,none,0.9886716117596742,0.5490711596521878,0.9849542713509766,0.8978810032063913,0.6510869565217391
60,201,5,low,none,0.9917730030209025,0.6875391125084392,0.9877589947363865,0.8945726012846607,0.7105263157894737
60,189,5,low,none,0.992114718093179,0.7799265632076267,0.9900423841498699,0.9371516043287001,0.6666666666666665
60,154,5,low,none,0.9933980338841719,0.6969486255708202,0.9924499327698658,0.9505826526923246,0.6904761904761905
60,211,5,low,none,0.9926887250576586,0.7567849228633984,0.9906882267376084,0.9281556821051257,0.6551724137931034
63,3,5,low,none,0.9902965596658129,0.7450717360710564,0.9865343938482428,0.9318715194985835,0.6666666666666667
63,5,5,low,none,0.9904153346513411,0.724264377017193,0.9873345188934615,0.8905988077615701,0.7027027027027026
63,12,5,low,none,0.9899437280508424,0.715936505395171,0.9851595696444789,0.9129005162915096,0.6666666666666666
63,28,5,low,none,0.9904867656957865,0.7240698826296036,0.9851515281023576,0.909838941255819,0.6141439205955335
63,30,5,low,none,0.9903381355630074,0.7207548764970317,0.9858370242486121,0.9054199039190662,0.6750471401634193
63,36,5,low,none,0.9900763465971316,0.6482945594508647,0.9869022110502282,0.8785199950041168,0.639672131147541
63,93,5,low,none,0.9898652323112141,0.6571821925814852,0.9862045233940725,0.8768148299215744,0.6451612903225807
63,96,5,low,none,0.9896870237128866,0.703430816297228,0.9864591854845443,0.9048462629145149,0.6079192546583851
63,110,5,low,none,0.9906863893317791,0.6735318892348998,0.9883557152877325,0.9205744119699205,0.6666666666666667
63,163,5,low,none,0.9897891657220432,0.6789568994993733,0.986701996639648,0.914415674254995,0.6666666666666667
63,181,5,low,none,0.9908383898638369,0.7036127561924228,0.9861128035250493,0.8887685259279643,0.6823725055432373
60,196,5,low,none,0.9892792135927618,0.7268159212631109,0.9843468769601108,0.9038021712126356,0.6451612903225807
63,204,5,low,none,0.9894606381079976,0.5140359886024232,0.9819909688744668,0.8905366474219472,0.6939799331103679
63,201,5,low,none,0.9902101961038701,0.6528796693127785,0.9844203506403798,0.9361476258019097,0.6097560975609756
63,189,5,low,none,0.9919444604436639,0.7521537629102774,0.9881060901114248,0.9062021880959034,0.653846153846154
63,154,5,low,none,0.9929444240527141,0.6573273964893527,0.9918685333944716,0.9216398493113789,0.6666666666666666
63,211,5,low,none,0.9915750930161509,0.7755022251254307,0.9874725015360852,0.892347703434281,0.6486486486486487
