exp_a,exp_b,stimulus,expertise_a,expertise_b,distance,score,source_file
35,138,rectangle,low,low,144.0,0.8421052631578947,Java_low_results.csv
35,104,rectangle,low,low,247.0,0.8697183098591549,Java_low_results.csv
35,128,rectangle,low,low,197.0,0.8106995884773662,Java_low_results.csv
35,164,rectangle,low,low,190.0,0.9004739336492891,Java_low_results.csv
35,126,rectangle,low,low,264.0,0.8859060402684564,Java_low_results.csv
34,126,rectangle,low,low,282.0,0.9463087248322148,Java_low_results.csv
35,180,rectangle,low,low,142.0,0.8304093567251462,Java_low_results.csv
35,107,rectangle,low,low,186.0,0.8942307692307693,Java_low_results.csv
34,186,rectangle,low,low,225.0,0.9297520661157024,Java_low_results.csv
35,101,rectangle,low,low,165.0,0.9649122807017544,Java_low_results.csv
35,124,rectangle,low,low,194.0,0.8899082568807339,Java_low_results.csv
35,186,rectangle,low,low,198.0,0.8646288209606987,Java_low_results.csv
35,182,rectangle,low,low,254.0,0.9071428571428573,Java_low_results.csv
35,140,rectangle,low,low,151.0,0.8830409356725146,Java_low_results.csv
35,200,rectangle,low,low,214.0,0.9304347826086956,Java_low_results.csv
37,65,rectangle,low,low,200.0,0.9174311926605504,Java_low_results.csv
37,56,rectangle,low,low,191.0,0.8761467889908257,Java_low_results.csv
37,43,rectangle,low,low,198.0,0.908256880733945,Java_low_results.csv
35,208,rectangle,low,low,236.0,0.900763358778626,Java_low_results.csv
35,162,rectangle,low,low,224.0,0.8484848484848485,Java_low_results.csv
35,78,rectangle,low,low,196.0,0.8412017167381974,Java_low_results.csv
37,71,rectangle,low,low,201.0,0.9220183486238532,Java_low_results.csv
37,67,rectangle,low,low,202.0,0.926605504587156,Java_low_results.csv
37,94,rectangle,low,low,196.0,0.8990825688073395,Java_low_results.csv
37,41,rectangle,low,low,286.0,0.89937106918239,Java_low_results.csv
37,99,rectangle,low,low,189.0,0.8669724770642202,Java_low_results.csv
37,78,rectangle,low,low,214.0,0.9184549356223176,Java_low_results.csv
37,79,rectangle,low,low,237.0,0.8977272727272727,Java_low_results.csv
37,74,rectangle,low,low,191.0,0.8761467889908257,Java_low_results.csv
37,107,rectangle,low,low,195.0,0.8944954128440367,Java_low_results.csv
35,179,rectangle,low,low,442.0,0.8893360160965795,Java_low_results.csv
37,44,rectangle,low,low,198.0,0.908256880733945,Java_low_results.csv
35,132,rectangle,low,low,375.0,0.9168704156479216,Java_low_results.csv
37,77,rectangle,low,low,326.0,0.9261363636363636,Java_low_results.csv
37,60,rectangle,low,low,237.0,0.92578125,Java_low_results.csv
37,128,rectangle,low,low,227.0,0.934156378600823,Java_low_results.csv
37,126,rectangle,low,low,284.0,0.953020134228188,Java_low_results.csv
35,176,rectangle,low,low,435.0,0.8630952380952381,Java_low_results.csv
37,101,rectangle,low,low,193.0,0.8853211009174312,Java_low_results.csv
37,124,rectangle,low,low,209.0,0.9587155963302753,Java_low_results.csv
37,138,rectangle,low,low,190.0,0.8715596330275229,Java_low_results.csv
37,164,rectangle,low,low,208.0,0.9541284403669724,Java_low_results.csv
37,162,rectangle,low,low,240.0,0.9090909090909092,Java_low_results.csv
37,132,rectangle,low,low,368.0,0.8997555012224939,Java_low_results.csv
37,182,rectangle,low,low,260.0,0.9285714285714286,Java_low_results.csv
37,180,rectangle,low,low,192.0,0.8807339449541285,Java_low_results.csv
37,186,rectangle,low,low,216.0,0.9432314410480348,Java_low_results.csv
41,43,rectangle,low,low,289.0,0.9088050314465408,Java_low_results.csv
41,65,rectangle,low,low,302.0,0.949685534591195,Java_low_results.csv
37,208,rectangle,low,low,236.0,0.900763358778626,Java_low_results.csv
37,140,rectangle,low,low,181.0,0.8302752293577982,Java_low_results.csv
37,63,rectangle,low,low,256.0,0.9110320284697508,Java_low_results.csv
41,74,rectangle,low,low,289.0,0.9088050314465408,Java_low_results.csv
